ロールID,メールアドレス,名前,よみがな,表示名,パスワード,所属
1,nishino@asojuku.ac.jp,西野　直幸,にしの　なおゆき,西野,nishino,教員
0,0000000@asojuku.ac.jp,テストユーザー1　太郎,てすとゆーざーたろう1,テスト1さん,test,テストユーザー
0,0000001@asojuku.ac.jp,テストユーザー2　太郎,てすとゆーざーたろう2,テスト2さん,test,テストユーザー
0,0000002@asojuku.ac.jp,テストユーザー3　太郎,てすとゆーざーたろう3,テスト3さん,test,テストユーザー
0,0000003@asojuku.ac.jp,テストユーザー4　太郎,てすとゆーざーたろう4,テスト4さん,test,テストユーザー
0,0000004@asojuku.ac.jp,テストユーザー5　太郎,てすとゆーざーたろう5,テスト5さん,test,テストユーザー
0,0000005@asojuku.ac.jp,テストユーザー6　太郎,てすとゆーざーたろう6,テスト6さん,test,テストユーザー
0,0000006@asojuku.ac.jp,テストユーザー7　太郎,てすとゆーざーたろう7,テスト7さん,test,テストユーザー
0,0000007@asojuku.ac.jp,テストユーザー8　太郎,てすとゆーざーたろう8,テスト8さん,test,テストユーザー
0,0000008@asojuku.ac.jp,テストユーザー9　太郎,てすとゆーざーたろう9,テスト9さん,test,テストユーザー
0,0000009@asojuku.ac.jp,テストユーザー10　太郎,てすとゆーざーたろう10,テスト10さん,test,テストユーザー
0,0000001@s.asojuku.ac.jp,テストユーザーS1　太郎,てすとゆーざーたろうS1,テストS1さん,test,Sテストユーザー
0,0000002@s.asojuku.ac.jp,テストユーザーS2　太郎,てすとゆーざーたろうS2,テストS2さん,test,Sテストユーザー
0,0000003@s.asojuku.ac.jp,テストユーザーS3　太郎,てすとゆーざーたろうS3,テストS3さん,test,Sテストユーザー
